City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Hailey,US,2021-11-25 04:33:23,43.5196,-114.3153,24.66,86,1,4.61
245,Georgetown,MY,2021-11-25 04:30:15,5.4112,100.3354,85.93,79,20,5.75
246,Iwanai,JP,2021-11-25 04:33:23,42.9744,140.5089,34.66,77,100,13.4
247,Torrington,US,2021-11-25 04:29:44,41.8007,-73.1212,35.78,72,54,1.99
248,Mahebourg,MU,2021-11-25 04:33:24,-20.4081,57.7,80.89,65,20,13.8
249,Haines Junction,CA,2021-11-25 04:33:24,60.7522,-137.5108,1.35,78,100,5.75
250,Sault Sainte Marie,CA,2021-11-25 04:30:07,46.5168,-84.3333,39.76,84,75,0.0
251,Provideniya,RU,2021-11-25 04:33:25,64.3833,-173.3,3.31,60,40,8.95
252,Jablonne Nad Orlici,CZ,2021-11-25 04:33:25,50.0296,16.6006,34.05,89,4,11.14
253,Pacific Grove,US,2021-11-25 04:33:26,36.6177,-121.9166,58.62,48,1,3.0
254,Kudahuvadhoo,MV,2021-11-25 04:33:27,2.6708,72.8944,81.59,69,92,15.68
255,Burnie,AU,2021-11-25 04:33:27,-41.0667,145.9167,73.92,41,7,9.86
256,Korfovskiy,RU,2021-11-25 04:33:28,48.2183,135.0564,11.66,86,100,6.13
257,Markova,UA,2021-11-25 04:33:28,48.6758,24.4138,31.24,76,1,3.44
258,Ahipara,NZ,2021-11-25 04:33:29,-35.1667,173.1667,64.49,76,100,0.58
259,Kurumkan,RU,2021-11-25 04:33:29,54.3,110.3,14.14,88,79,1.57
260,Librazhd,AL,2021-11-25 04:33:29,41.1794,20.315,42.1,88,87,6.42
261,Richards Bay,ZA,2021-11-25 04:32:20,-28.783,32.0377,65.3,75,100,9.71
262,Gemlik,TR,2021-11-25 04:33:30,40.4309,29.1597,54.57,84,94,5.68
263,Havelock,US,2021-11-25 04:33:31,34.8791,-76.9013,43.93,51,9,2.59
264,Griffith,US,2021-11-25 04:33:31,41.5284,-87.4237,50.11,83,90,1.01
265,Hualmay,PE,2021-11-25 04:33:31,-11.0964,-77.6139,65.84,85,100,9.89
266,Yaroslavskaya,RU,2021-11-25 04:33:32,44.6106,40.4642,28.31,84,6,4.52
267,Aksarka,RU,2021-11-25 04:33:15,66.5606,67.7975,10.49,88,100,12.62
268,Kefalos,GR,2021-11-25 04:33:32,36.7453,26.9589,59.22,77,40,11.5
269,Berlevag,NO,2021-11-25 04:33:33,70.8578,29.0864,24.8,93,100,13.31
270,Iqaluit,CA,2021-11-25 04:30:12,63.7506,-68.5145,28.13,74,90,17.27
271,Kuito,AO,2021-11-25 04:33:34,-12.3833,16.9333,61.11,91,99,2.55
272,Codrington,AU,2021-11-25 04:33:34,-38.2667,141.9667,61.54,68,3,17.29
