City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
603,Vesyegonsk,RU,58.664,37.2604,33.24,87,100,12.95,overcast clouds,2021-11-26 04:57:21
604,Manono,CD,-7.3,27.4167,69.85,94,99,1.97,overcast clouds,2021-11-26 04:57:21
605,Arlit,NE,18.7369,7.3853,71.17,25,2,6.67,clear sky,2021-11-26 04:57:22
606,Santarem,BR,-2.4431,-54.7083,77.13,94,75,16.11,thunderstorm with light rain,2021-11-26 04:57:22
607,Beloha,MG,-25.1667,45.05,71.74,46,2,10.42,clear sky,2021-11-26 04:57:22
608,Thanh Hoa,VN,19.8,105.7667,76.1,50,38,6.38,scattered clouds,2021-11-26 04:57:23
609,Burnie,AU,-41.0667,145.9167,59.97,57,59,8.68,broken clouds,2021-11-26 04:57:23
610,Charters Towers,AU,-20.1,146.2667,87.78,44,91,5.32,overcast clouds,2021-11-26 04:57:24
611,Severnyy,RU,50.677,36.5532,26.64,86,0,11.18,clear sky,2021-11-26 04:57:24
612,Miracema Do Tocantins,BR,-9.5618,-48.3967,73.06,96,99,2.57,overcast clouds,2021-11-26 04:57:25
613,Taoudenni,ML,22.6783,-3.9836,72.37,29,76,6.96,broken clouds,2021-11-26 04:57:25
614,Dryden,CA,49.7833,-92.7503,7.09,85,90,4.61,overcast clouds,2021-11-26 04:55:19
615,Kletnya,RU,53.3897,33.2171,35.76,85,78,15.57,broken clouds,2021-11-26 04:57:26
616,Nyurba,RU,63.2842,118.3319,-0.44,99,99,3.11,overcast clouds,2021-11-26 04:57:26
617,Bay Roberts,CA,47.5999,-53.2648,52.03,95,100,8.01,overcast clouds,2021-11-26 04:57:27
618,Krasnoselkup,RU,65.7,82.4667,5.2,95,100,11.81,light snow,2021-11-26 04:57:27
619,Honningsvag,NO,70.9821,25.9704,22.75,68,20,11.5,few clouds,2021-11-26 04:57:28
620,Scarborough,GB,54.2797,-0.4044,46.08,89,100,5.99,light rain,2021-11-26 04:57:28
621,Asau,RO,46.4333,26.4,34.75,65,6,4.97,clear sky,2021-11-26 04:57:28
622,Luderitz,NA,-26.6481,15.1594,60.33,90,6,6.49,clear sky,2021-11-26 04:57:29
623,Miri,MY,4.4148,114.0089,86.14,70,40,6.91,scattered clouds,2021-11-26 04:57:29
624,Lanzhou,CN,36.0564,103.7922,43.88,23,53,0.58,broken clouds,2021-11-26 04:56:05
625,Cheremkhovo,RU,53.1561,103.0675,28.35,87,99,6.73,overcast clouds,2021-11-26 04:57:29
626,Barra,BR,-11.0894,-43.1417,74.32,77,99,4.52,overcast clouds,2021-11-26 04:57:30
627,Omboue,GA,-1.5746,9.2618,76.57,89,91,4.56,overcast clouds,2021-11-26 04:57:31
628,Tiznit,MA,29.5833,-9.5,53.01,73,100,5.14,overcast clouds,2021-11-26 04:57:31
629,Zhangjiakou,CN,40.81,114.8794,35.62,41,0,1.43,clear sky,2021-11-26 04:57:32
